Title,KruseID,Category,Workstream,ParentProjectName,Topic,Status,Description,ValueStatement,Audience,ProductOverview,ServiceTypes,ProjectManager,SOCOSponsor,DeployedTo,StakeholderDept,StakeholderRep,OriginatingOpCo,StartDate,EndDate,CompletionPct,TeamSize,MainLink,ParentLink,ChildLink,ParentProjectId,ChildProjectIds,RemovalReason
TELENIUM Data Integration,TRN-XX23,Transmission Analytics,Transmission,TELENIUM Data Integration,Transmission,Done - Deployed without Maintenance,Adding in TELENIUM data to Gidb (the transmission database) to support various past projects and enable the quick processing of future TELENIUM data for other projects,,,,,,,APC,PDDA-T,Emily Boles,APC,,,,,,,,,,
Trans Poles Data Transformation,TRN-0051,Transmission Analytics,Transmission,Trans Poles Data Transformation,Transmission,Done - Deployed without Maintenance,Access DB conversion to Databricks for lat/lon pole locations,,,,,,,,,Kimberly Sargent,APC,,,,,TBD,,,,,
Transmission Database Engineering,TRN-XXX4,Transmission Analytics,Transmission,Transmission Database Engineering,Automation,Done - Deployed with Maintenance,Adding new data sources to Gidb and growing capabilities,,,,,,,APC,PDDA-T,Emily Boles,APC,,,,,,,,,,
TransForm,TRN-XX13,Transmission Analytics,Transmission,TransForm,Transmission,In Development,No description available.,,,,,,,APC,PDDA-T,Emily Boles,APC,,,,,,,,,,
Transmission FLISR,TRN-0033,Transmission Analytics,Transmission,Transmission FLISR,Automation,Scoping,Analytics for Transmission automated restoration.,,,,,,,APC,Transmission Engineering Services,Jeff Waters,APC,,,,,TBD,,,,,
Transmission Growth,TRN-XXXX,Transmission Analytics,Transmission,Transmission Growth,Transmission,Request Received,GET FROM DAN,,,,,,,APC,PDDA-T,Emily Boles,APC,,,,,,,,,,
Transmission Infrastructure Prioritization Dashboards,TRN-0029,Transmission Analytics,Transmission,Transmission Infrastructure Prioritization Dashboards,Investment Prioritization,Done - Deployed with Maintenance,Transmission Lines Assets Dashboard to support program investment prioritization based on asset health.,,,,,,,APC,Transmission Engineering Services,Vicki Chaney,APC,,2024-09-01,,,https://app.powerbi.com/groups/a377f74d-f9f4-4ade-94f0-d5f0609ad89d/reports/56e846f8-577f-4398-a10d-139bce41593d/ReportSectiona755d2c2da72c6e84b7d?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,https://app.powerbi.com/groups/a377f74d-f9f4-4ade-94f0-d5f0609ad89d/reports/56e846f8-577f-4398-a10d-139bce41593d/ReportSectiona755d2c2da72c6e84b7d?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,,,,
Transmission Load Shed,TRN-0045,Transmission Analytics,Transmission,Transmission Load Shed,Load Management,Done - Deployed with Maintenance,"A PowerBI dashboard that prioritizes Transmission Line Load Shed based on Distribution list of PSH feeders,",,,,,,,APC,Transmission Control Center,"APC Transmission Control Center, Kevin B. Daniel",APC,,2024-12-01,,,https://tiny.sc/TransmissionLoadShed,https://tiny.sc/TransmissionLoadShed,,,,
Transmission Outage Cost Model,TRN-0052,Transmission Analytics,Transmission,Transmission Outage Cost Model,,In Development,"Looking to determine the cost of outages Broken down by MVA lost, Material and Labor Cost.",,,,,Bob Favre,,APC; GPC; MPC,,Tammy Norwood,APC,,,,,TBD,,,,,
UG Cable Inspections,TRN-0059,Transmission Analytics,Transmission,UG Cable Inspections,Undergrounding,In Development,"Visual to prioritize which cables to replace in the system, application for field teams to input replacements",,,,,,,APC,Dist Eng Services,Stephen Wolbach,APC,,2025-09-01,,,,,,,,
VM Locate Tickets,TRN-XX11,Transmission Analytics,Transmission,VM Locate Tickets,Vegetation Management,Request Received,GET FROM DAN,,,,,,,APC,Vegetation Management,Kristen Bridges,APC,,,,,,,,,,
Meter Intelligence Hub,AMI-XXX9,AMI,AMI,Meter Intelligence Hub,AMI,In Development,Project management for Joyce,,,,,,,APC; GPC,AMI,Joyce Solomon,,,,,,,,,,,
Network - Web Application Development,GTR-XX92,PD Grid Transformation Analytics,Grid Transformation,Network - Web Application Development,,In Development,"Integrate viz into app, integrate other compenents into app deb",,,,,,,APC; GPC,Network Underground,Megan Barnidge,GPC,,,,,,,,,,
Transmission Infrastructure Prioritization Dashboards Phase II,TRN-XXX5,Transmission Analytics,Transmission,Transmission Infrastructure Prioritization Dashboards Phase II,Investment Prioritization,Done - Deployed with Maintenance,Plug and play of existing APC infastructure dashboard to GPC,,,,,,,GPC,Transmission Engineering Services,Heather Lunsford,APC,,2024-09-01,,,,,,,,
SIA Audit App,TRN-XXX6,Transmission Analytics,Transmission,SIA Audit App,Substations,Request Received,Application in OutSystems for an audit team to use to input substation audit that will then be used for an internal member of Johnny's team,,,,,,,APC,SIA,Johnny Black,APC,,,,,,,,,,
"Fleet Vehicle Request, Tracking, & Reporting",GTR-0059,PD Grid Transformation Analytics,Grid Transformation,Fleet Analytics,"Fleet Vehicle Request, Tracking, & Reporting",In Development,Request by Crystal Jackson (GPC PD Fleet) to develop application to capture new vehicle requests. There is an existing MOBI being used by APC Fleet that may be guide in development.,"Streamlines submitting, tracking, and managing fleet requests, improving transparency, reducing bottlenecks, and ensuring the right vehicles are allocated at the right time.","GPC, APC, MPC - Fleet Operations Teams.","Centralized application across multiple OPCOs that automates fleet request intake, approvals, and tracking to improve visibility, speed fulfillment, budget analysis and vehicle utilization.",Application Development; UX/UI Development; Data Automation,"Pritesh Patel, Bob Favre",Cheryl Pressley,GPC,Fleet,Crystal Jackson,GPC,,,70,1,TBD,,,,,
CLAI.AI,AMI-XXX6,AMI,AMI,CLAI.AI,AMI,In Development,Upgrade to the Clay AI internal user interace PowerBi,,,,,,,APC; GPC,AMI,Joyce Solomon,APC,,,,,,,,,,
AMI Analytics Dashboards,AMI-XXX7,AMI,AMI,AMI Analytics Dashboards,AMI,In Development,No description available.,This tool streamlines the process of identifying customers with inefficient heating/cooling systems using dozens of relevant demographic indicators.,"Anyone in GPC/APC looking to identify and outreach to improve customers' inefficient heating and/or cooling systems, such as the EE Implementation Group.","A dashboard that allows users to filter millions of GPC/APC accounts on demographic factors such as household income, dwelling type, county, etc. Pinpoint small subsets of outlier accounts to connect with the goal of improving efficiency.",ETL & Data Visualization; Analytics & Modeling,,Joyce Solomon,APC; GPC,AMI,Joyce Solomon,APC,,,80,1,,,,,,
Physical Security Spare Equipment,TRN-115,Transmission Analytics,Transmission,Physical Security Spare Equipment,Capital Investment,Request Received,Executive view of major equipment counts,,,,,,,SCS,SCS,Kevin Martinez,APC,,,,,,,,,,
PD Eng Services BD,OTH-0004,Other,Other,PD Eng Services BD,,Scoping,Prep for Eng Svcs Work,,,,,,,APC,PDDA,Shane Powell,APC,,,,,,,,,,
Transmission Reliability Project,TRN-118,Transmission Analytics,Transmission,Transmission Reliability Project,Reliability,Scoping,Reliability analytics on the transmission equipment,"Create enhanced access, visibility, and forecasting across Transmission Outages to support reliability enhancements and better manage assets.",Project Managers and SVPs to support issue identification and research. Budget/Capital allocation optimization for Engineers (O&M) and PMs.,Multi-phased approach: Phase 1 (Reporting & Anomaly Detection) reproduces daily status reporting and surfaces historical outage data with ML-based anomaly classification. Phase 2 (Equipment Health & Optimization) adds asset health modeling and optimization engine. Phase 3 (Advanced Data Intelligence & AI) brings agentic AI tools.,Analytics & Modeling; ML & Data Science; ETL & Data Visualization; Data Engineering,,Emily Boles,GPC,PDDA,Kevin Martinez,,,,45,5,,,,,,
Workforce Analytics,GTR-XX35,PD Grid Transformation Analytics,Grid Transformation,Workforce Analytics,Engineering Workload,Scoping,Preform Gap analysis of GPC an APC tools for workforce plannng,,,,,,,GPC,PDDA,Cheryl Pressley,GPC,,,,,,,,,,
ACC Morning Report and Storm Report,TRN-105,Transmission Analytics,Transmission,ACC Morning Report and Storm Report,Weather,Scoping,Modernization of transmission morning report and storm reporting,,,,,,,GPC,PDDA,Gary Gorham,GPC,,,,,,,,,,
"Network - Low Code App, Powr BI",GTR-XX91,PD Grid Transformation Analytics,Grid Transformation,"Network - Low Code App, Powr BI",Undergrounding,In Development,Business deliverables,,,,,,,GPC,PDDA,Megan Barnidge,GPC,,,,,,,,,,
Storm Crew Logistics,OPR-XX29,PD Operations Analytics,Operations,Storm Crew Logistics,Crew Workload,In Development,Making a pivot table as an interim solution until team adopts GridCritical,,,,,,,APC,PDDA,Matthew Cotney,APC,,,,,,,,,,
Facility Name,TRN-XX99,Transmission Analytics,Transmission,Facility Name,Substations,In Development,Project to name and update names of facilities as they are built,,,,,,,APC; GPC,PDDA,Bob Favre,APC,,,,,,,,,,
ARCOS Dashboard Phase II,TEC-0004,PD Technology,Grid Transformation,ARCOS Dashboard Phase II,Crew Workload,In Development,Pick up the ARCOS dashboad where phase I leftoff,,,,,,,APC,PD Technology,David Osborne,APC,,,,,,,,,,
Visual Coaching,EGS-0001,PD Engineering Services,Distribution,Visual Coaching,Engineering Workload,In Development,Upskilling Nicole Grove and Appa Mantha within the PD Engineering Services group. This includes general coaching as well as an assessment of theri dashboards and cleaning them up,,,,,,,APC,PD Engineering Services,"Nicole Grove, Appa Mantha",APC,,,,,,,,,,
NETWORK - Domain Management,GTR-X101,PD Grid Transformation Analytics,Grid Transformation,NETWORK - Domain Management,Undergrounding,Scoping,another path to charge to for network people doing domains,,,,,,,APC,Network Underground,Megan Barnidge,GPC,,,,,,,,,,
DCC Phase III,OPR-XX25,PD Operations Analytics,Operations,DCC Phase III,Workforce Analytics,Scoping,The combination of GPC & APC DCC analtyics,,,,,,,APC; GPC,,,APC,,,,,,,,,,
Fiber ROI Estimator,GTR-XX89,PD Grid Transformation Analytics,Grid Transformation,Fiber ROI Estimator,Investment Prioritization,Scoping,Tool to determine ROI of Fiber,,,,,,,APC; GPC,Fiber,Nolan Jones,GPC,,,,,,,,,,
PD-TSC Investment Prioritization Initiative,TRN-X100,Transmission Analytics,Transmission,PD-TSC Investment Prioritization Initiative,Investment Prioritization,Scoping,Building Outsystems or other app to feed data and help TO team make decisions,"Creating a transparent, data-driven process to assess and prioritize technical investments, ensuring resources are focused on the highest-impact initiatives.","GPC, APC - Technology Steering Committee.","A consistent, data-driven framework to evaluate and rank new and existing technical projects, ensuring resources are directed toward the highest-value investments, reducing portfolio risk, and maximizing strategic and financial return.",Application Development; Analytics & Modeling; UX/UI Development,,Emily Boles,APC; GPC,,Britney Patrick,APC,,,75,1,,,,,,
Fulcrum Asset Management Integration,REL-XXX3,Reliability,Reliability,Fulcrum Asset Management Integration,Asset Management,Scoping,Integrating an API to automate out manual upload/download process and preparing an interactive dashboard,"Fulcrum Asset Management Integration creates a single, automated system of record that connects inspections to corrective actions and converts raw asset data into measurable program performance.",Executive leadership (one-page program health at a glance). Project managers (performance and accountability). Engineers/Supervisors/Field Ops (actionable corrective work management).,"Centralization of inspection data, corrective actions, and asset performance reporting. Integration of data flows between GIS, Fulcrum, and dashboards. Enables accountability and consistent corrective action tracking.",Data Engineering; Data Architecture; ETL & Data Visualization,,"David Loftin, Tony Hogan",MPC; GPC,PDDA,David Loflin,MPC,,,60,3,,,,,,
LLM for Metering Comments,EGS-0002,PD Engineering Services,Distribution,LLM for Metering Comments,,In Development,Using an LLM to categorize field comments for metering,,,,,,,APC,Engineering Services,Justin Harrison,APC,,,,,,,,,,
Open vs. Closed Source Analytics,PDD-XXX1,Shane's Request,Corporate & Engineering Services,Open vs. Closed Source Analytics,,In Development,Project for Jesse on larger open vs closed source analytics debate,,,,,,,APC,PDDA,Jesse Woods,APC,,,,,,,,,,
Planning Tool,GTR-XX36,PD Grid Transformation Analytics,Grid Transformation,Planning Tool,,In Development,Redesign of a tool planning used to attach to JETS to spit out estimates for the field based off of planned demand,,,,,,,APC,PD Engineering Services,Jimmy White,APC,,,,,,,,,,
NJUNS API,TEC-0005,PD Technology,Grid Transformation,NJUNS API,,In Development,"Connecting NJUNS API to an on-prem server that feeds WebX GIS, potential to expanding to backwards integration as well",,,,,,,APC,PD Technology,Kelsey Stephens,APC,,,,,,,,,,
Ground Inspection Priority Dashboard,TRN-X101,Transmission Analytics,Transmission,Ground Inspection Priority Dashboard,Resource Management,In Development,Taking in the new data from ground/drone inspections and making a tool to prioriitze pole replacements compared to otherwise planned replacements,A tool for the GPC Transmission Team (and TMCs) for identifying and prioritizing lines and line segments in poor health. Uses various metrics to determine health of a line to aid in prioritization efforts.,GPC Transmission Team and TMC groups.,Developed a scoring mechanism using various metrics. Combines data from multiple sources in a centralized location. Dashboard for prioritizing transmission line maintenance and inspection.,Analytics & Modeling; ETL & Data Visualization; Data Engineering,,Emily Boles,GPC,PDDA,Heather Lunsford,APC,,,90,2,,,,,,
Data Exploration,EGS-0003,PD Engineering Services,Distribution,Data Exploration,Investment Prioritization,In Development,Creating data flow diagrams and estimated hours for work to be completed,,,,,,,APC,PD Engineering Services,Justin Harrison,APC,,,,,,,,,,
PD SoFlow,TRN-X102,Transmission Analytics,Transmission,PD SoFlow,,In Development,Replacing a Mobi app that tracks signatures and approvals of PDFs,SoFlow standardizes how documents are approved across Southern Company. It reduces user toil for obtaining approvals and creates a history for audit purposes.,Project & program managers who need approvals with an audit trail. Decision makers who review and approve documents.,OutSystems app open to anyone. Users can submit any file format and easily track approval status. Flexible workflows allow users to restart the process after rejections or cancels.,Application Development; UX/UI Development,,Josh McCurry,APC; GPC,PDDA,Tammy Norwood,APC,,,95,3,,,,,,
EGS-PLN-Planning Tools,GTR-X200,PD Grid Transformation Analytics,Grid Transformation,EGS-PLN-Planning Tools,Asset Management,In Development,Create an Outsystems to replace what had been planning tools components before the up coming planning cycle,Replace the outdated Distribution Budget Solution and Arts Budget Estimate tools. Fix the issues with current tool to use during the 2026 Planning cycle.,APC PD Planning Team. PD Planning works to create cost-effective solutions to address system limitations.,"Connect directly with JETS, GIS & RAMP data sources. Give user control to update data on-demand. Migrated from outdated applications that lack support and no longer function. Modernize UX with more flexible filtering and layout controls.",Application Development; Data Engineering; UX/UI Development,,Justin Harrison,APC,PDDA,"Jimmy White, Justin Harrison",APC,,,65,2,,,,,,
EGS-BUS-JETS and CIAC Closeout,GTR-X201,PD Grid Transformation Analytics,Grid Transformation,EGS-BUS-JETS and CIAC Closeout,,In Development,To finalize the Visual Coaching effort that provides leadership with data insights on flagged jobs and reduces manual effort in data sharing.,,,,,,,APC,PPDA,"Melissa Hanby, Justin Harrison",APC,,,,,,,,,,
EGS-NTR-AMI Metering Closeout,GTR-X202,PD Grid Transformation Analytics,Grid Transformation,EGS-NTR-AMI Metering Closeout,Metering,In Development,To finalize the Visual Coaching effort that provides leadership metering data insights.,,,,,,,APC,PDDA,"Clint Foster, Justin Harrison",APC,,,,,,,,,,
AETOS Product Planning,OTH-XX10,Other,Other,AETOS Product Planning,,In Development,Jason Stele product deck for transmission on Jesse's behalf,,,,,,,APC,PDDA,Jesse Woods,APC,,,,,,,,,,
ARCOS Executive Roll-Up,TEC-0006,PD Technology,Grid Transformation,ARCOS Executive Roll-Up,,In Development,Completion of the ARCOS Availability Dashboard,,,,,,,APC,PD Technology,David Osborne,APC,,,,,,,,,,
AMR - Automated Morning Report,TRN-X103,Transmission Analytics,Transmission,AMR - Automated Morning Report,,Scoping,Modernization of a daily transmission email,,,,,,,APC; GPC,PDDA,Josh McCurry,APC,,,,,,,,,,
PDDAT Security Architecture,TRN-X104,Transmission Analytics,Transmission,PDDAT Security Architecture,,Scoping,GIDB App Migration (to PDDADB),,,,,,,APC; GPC,PDDA,Josh McCurry,APC,,,,,,,,,,
PD Cust Ops Call Monitoring,OPR-XX50,PD Operations Analytics,Operations,PD Cust Ops Call Monitoring,,Scoping,Call center monitoring dashboard,,,,,,,APC; GPC,PDDA,Jessica Oswalt,APC,,,,,,,,,,
Western Division Roadmapping,PDD-XXX2,Shane's Request,Corporate & Engineering Services,Western Division Roadmapping,,Scoping,Roadmapping effort with Adam Carr's group,,,,,,,APC,PDDA,Shane Powell,APC,,,,,,,,,,
Large Load Monitoring Dashboard,AMI-XXX9-1,AMI,AMI,Large Load Monitoring Dashboard,Metering,In Development,Joyce effor to monitor large load customers,,,,,,,APC,PDDA,Joyce Solomon,APC,,,,,,,,,,
EGS-PLN-Database,GTR-X151,PD Engineering Services,Distribution,EGS-PLN-Database,,Scoping,Phase 2 of Data Strategy for the Planning Group; validating data flow diagrams and assisting with implementation steps.,,,,,,,APC,PD Engineering Services,Justin Harrison,APC,,,,,,,,,,
UG Scheduling App Phase II,TEC-0007,PD Technology,Grid Transformation,UG Scheduling App Phase II,,In Development,Picking up where the original UG Scheduling project left off on the new contract after the pause,,,,,,,APC,PD Technology,Kelsey Stephens,APC,,,,,,,,,,
EGS-PLN-Spot Loads,GTR-X203,PD Grid Transformation Analytics,Grid Transformation,EGS-PLN-Spot Loads,,Scoping,PM effort to lift and shift tool from GPC to APC and MPC,,,,,,,APC,PDDA,"Jimmy White, Justin Harrison",APC,,,,,,,,,,
Fiber Application Development,GTR-X150,PD Grid Transformation Analytics,Grid Transformation,Fiber Application Development,,In Development,The infastructure of the tool that will become the fiber application,,,,,,,GPC,Fiber,Cheryl Pressley,APC,,,,,,,,,,
Kruse Office Management,PDD-XXX3,Shane's Request,Corporate & Engineering Services,Kruse Office Management,,In Development,Back office work to ensure billing,,,,,,,,,,APC,,,,,,,,,,
SCT Reliability Database Automation,TRN-X105,Transmission Analytics,Transmission,SCT Reliability Database Automation,,In Development,Effort to automate the database portion for SCT,,,,,,,APC,PDDA-T,Josh McCurry,APC,,,,,,,,,,
EGS-Program Management,GTR-X204,PD Grid Transformation Analytics,Grid Transformation,EGS-Program Management,,In Development,Updates to Justin's liking,,,,,,,APC,PD Engineering Services,Justin Harrison,APC,,,,,,,,,,
Control House Turnkey,TRN-X106,Transmission Analytics,Transmission,Control House Turnkey,,In Development,Changing a PowerBi and PowerApp to host entirely on databricks and be a databricks app for prefabricated control houses,,,,,,,GPC,PDDA-T,Kevin Martinez,APC,,,,,,,,,,
GPC Cust Ops Call Monitoring,OPR-XX55,PD Operations Analytics,Operations,GPC Cust Ops Call Monitoring,,In Development,Jessica Oswalt led project,,,,,,,GPC,PDDA,Danielle Robinson,APC,,,,,,,,,,
Sharepoint Overhaul,AMX-0001,AMI Contract,AMI,Sharepoint Overhaul,,In Development,Picking up prior project to beautify the AMI Sharepoint,,,,,,,APC,AMI,Myrna Merced,APC,,,,,,,,,,
Ships Database and Apprentice Program,TRN-X107,Transmission Analytics,Transmission,Ships Database and Apprentice Program,,Scoping,Work with the training group to move them from excel files to a database with analytics on tracking apprentice program progress,,,,,,,GPC,PDDA,Paul Jensen,GPC,,,,,,,,,,
EGS-BUS-Compliance Chatbot,GTR-X205,PD Grid Transformation Analytics,Grid Transformation,EGS-BUS-Compliance Chatbot,,Scoping,Chatbot for ease of finding documents and information.,,,,,,,APC,PPDA,"Melissa Hanby, Justin Harrison",APC,,,,,,,,,,
EGS-BUS-Jobs to Check Automation,GTR-X206,PD Grid Transformation Analytics,Grid Transformation,EGS-BUS-Jobs to Check Automation,Automation,Scoping,Automation of push-based distribution of JETS flagged issues,,,,,,,APC,PPDA,"Melissa Hanby, Justin Harrison",APC,,,,,,,,,,
EGS-BUS-Audit Scorecard Automation,GTR-X207,PD Grid Transformation Analytics,Grid Transformation,EGS-BUS-Audit Scorecard Automation,Automation,Scoping,Automation of the generation and distribution of the audit dashboard and scorecards on a recurring monthly cadence,,,,,,,APC,PPDA,"Melissa Hanby, Justin Harrison",APC,,,,,,,,,,
EGS-BUS-Pole Changeout Alert Automation,GTR-X208,PD Grid Transformation Analytics,Grid Transformation,EGS-BUS-Pole Changeout Alert Automation,Automation,Scoping,Automation of the engineers alerted when a pole scheduled for replacement requires increased height.,,,,,,,APC,PPDA,"Melissa Hanby, Justin Harrison",APC,,,,,,,,,,
ACC Daily Peak Dashboard,TRN-X108,Transmission Analytics,Transmission,ACC Daily Peak Dashboard,,In Development,Automation of Outsystem/PBI email for when the system is at peak load,,,,,,,APC,PDDA,Jonathan Schinker,APC,,,,,,,,,,
EGS-JUS-Database,GTR-X152,PD Grid Transformation Analytics,Grid Transformation,EGS-JUS-Database,,Scoping,Phase 2 of Data Strategy for the Joint-U Group; validating data flow diagrams and assisting with implementation steps.,,,,,,,APC,PD Engineering Services,Justin Harrison,APC,,,,,,,,,,
EGS-BUC-Database,GTR-X153,PD Grid Transformation Analytics,Grid Transformation,EGS-BUC-Database,,Scoping,Phase 2 of Data Strategy for the Business Compliance Group; validating data flow diagrams and assisting with implementation steps.,,,,,,,APC,PD Engineering Services,Justin Harrison,APC,,,,,,,,,,
EGS-REC-Database,GTR-X154,PD Grid Transformation Analytics,Grid Transformation,EGS-REC-Database,,Scoping,Phase 2 of Data Strategy for the Regulatory Complianc Group; validating data flow diagrams and assisting with implementation steps.,,,,,,,APC,PD Engineering Services,Justin Harrison,APC,,,,,,,,,,
EGS-DES-Database,GTR-X155,PD Grid Transformation Analytics,Grid Transformation,EGS-DES-Database,,Scoping,Phase 2 of Data Strategy for the DES Group; validating data flow diagrams and assisting with implementation steps.,,,,,,,APC,PD Engineering Services,Justin Harrison,APC,,,,,,,,,,
Encroachview Case Automation,TRN-1291,Transmission Analytics,Transmission,Encroachview Case Automation,,In Development,Encrouchview (third-party application) tracks encroachments on right-of-ways. Need to monitor as per AL law can lose rights to them if occupied too long. Tenant at will - if someone built a little onto it and there is an agreement in place with SoCo,,,,,,,APC,PDDA-T,John Chipwood,APC,,,,,,,,,,
ROW Services TSMART AI,TRN-1286,Transmission Analytics,Transmission,ROW Services TSMART AI,,In Development,Using GIS in databricks to provide text answers to questions about encroachments,,,,,,,APC,PDDA-T,John Chipwood,APC,,,,,,,,,,
EGS-CNE-CAMP Invoicing Dashboard,GTR-X156,PD Grid Transformation Analytics,Grid Transformation,EGS-CNE-CAMP Invoicing Dashboard,,Scoping,Automatically backfill Work Type codes to invoices; Create/update CAMP dashboard based on the many spreadsheets currently used for tracking.,,,,,,,APC,PD Engineering Services,Justin Harrison,APC,,,,,,,,,,
PD Transmission - PM,TRN-1500,Transmission Analytics,Transmission,PD Transmission - PM,,In Development,Chief of Staff work for Emily,,,,,,,APC,PDDA,Emily Boles,APC,,,,,,,,,,
Project Support Estimate Request Tool,TRN-1302,Transmission Analytics,Transmission,Project Support Estimate Request Tool,,In Development,"This is a tool that fills a gap in the creation of new projects. This Project Support group (SCS) is responsible for estimating projects. However, there are many inconsistencies in the current process. Brandon Daigneault has mocked up an application on the lines side that would work perfectly for users to submit these request. Anthony Freeman would be the Subs rep. This is likely an outsystems (or databricks webapp!). This will become a suite of tools so we should evaluate what kind of foundation we want to build. They heard about us from Joe Godwins Civil projects. This will be great to communicate to Kwarcinski, Elaine L. as this and Civil are in her organization.",,,,,,,APC,PDDA,Bandon Diagneault,APC,,,,,,,,,,
Faulty Cutout Replacement Prioritization,REL-XXX5,Reliability,Reliability,Faulty Cutout Replacement Prioritization,,In Development,Dan/Boyd project,,,,,,,APC,PDDA,Brandon Carter,APC,,,,,,,,,,
ACC Load Data for Line Rating Projects,TRN-0006,Transmission Analytics,Transmission,ACC Load Data for Line Rating Projects,,Scoping,"Kerry Collins (ACC) currently manually sends Jay Smith (TES) load data for flights that he has ordered that will be used by design to load into PLSCADD for Line Rating projects. Looking to automate as much of this process as possible, in conjunction with EMS being replaced by Monarch. We may can speed up the manual processes (in excel and transmap) and once Monarch is live, then automate the rest.",,,,,,,APC,PDDA,Kerry Collins,APC,,,,,,,,,,
Teams Labor Multiplier,TRN-1253,Transmission Analytics,Transmission,Teams Labor Multiplier,,Scoping,Analyze labor estimate data to determine appropriate multiplier for TEAMS estimates. May require PowerPlan data to access company labor hours and CAMP data to access contract crew hours.,,,,,,,APC,PDDA,Dax Guerard,APC,,,,,,,,,,
EGS-CNE-Strategic Crew Scheduling,GTR-X157,PD Grid Transformation Analytics,Grid Transformation,EGS-CNE-Strategic Crew Scheduling,,Scoping,Automation of Crew Scheduling Activities,,,,,,,APC,PD Engineering Services,Justin Harrison,APC,,,,,,,,,,
TCC STOMP,TRN-1376,Transmission Analytics,Transmission,TCC STOMP,,Scoping,This project is a list of items that the TCC (Raj Venkat) is asking for that will improve the ability to do analysis on the Operations Module (WR). This is a separate list than what was submitted for the Planned Outage project.,,,,,,,APC,PDDA,Josh McCurry,APC,,,,,,,,,,
Interactive Menu,TRN-0365,Transmission Analytics,Transmission,Interactive Menu,,Scoping,"Tool that will allow all users to create their own menu for applications and tools, it will also have a ""Marketplace"" of tools that they will be able to add to their own customized screen and have all of the tools they may need a few clicks away.",,,,,,,APC,PDDA,Emily Boles,APC,,,,,,,,,,
Occupational Tax Analysis,TRN-0481,Transmission Analytics,Transmission,Occupational Tax Analysis,,In Development,Looking to identify Occupation Tax zones and find the jobs for T&D (teams and jets?) and come up with a percentage that each job was performed in those areas. Consider incorporating calculations into an automated process.,,,,,,,APC,PDDA,Sharon Bolt,APC,,,,,,,,,,
GEN-Safety Data Infastructure,GEN-0001,Generation Analytics,Operations,GEN-Safety Data Infastructure,,Scoping,Initial Generation project,,,,,,,APC,Generation,Jonathan Argo,APC,,,,,,,,,,
GEN-Operations Data Strategy,GEN-0002,Generation Analytics,Operations,GEN-Operations Data Strategy,,Scoping,Generation data architecture project,,,,,,,APC,Generation,Taylor Owens,APC,,,,,,,,,,
Construction Budgeting and Scheduling Financial Connection,TEC-0008,PD Technology,Grid Transformation,Construction Budgeting and Scheduling Financial Connection,,Scoping,Connecting data for another project on behalf of PDT,,,,,,,APC,PDT,Christian Getsinger,APC,,,,,,,,,,
Planning Metered Loads,TRN-0690,Transmission Analytics,Transmission,Planning Metered Loads,,In Development,"As a Distribution Planning Engineer, I want to automate the generation of peak and valley metered load reporting for Planning groups for studies, so that I can save work effort and prevent manual errors. Partnership with AMI. Joyce Solomon is heading this project, with data engineering lead, Thanmayi Rajam.",,,,,,,APC,PDDA,,,,,,,,,,,,
Landing Page,PDD-XXX4,Shane's Request,Corporate & Engineering Services,Landing Page,,In Development,A collective list of all projects Kruse has done for Southern Company organized by contract - formed into a website that showcases all of this work,,,,,,,,,,,,,,,,,,,,
