Title,KruseID,Category,Workstream,ParentProjectName,Topic,Status,Description,ValueStatement,Audience,ProductOverview,ServiceTypes,ProjectManager,SOCOSponsor,DeployedTo,StakeholderDept,StakeholderRep,OriginatingOpCo,StartDate,EndDate,CompletionPct,TeamSize,MainLink,ParentLink,ChildLink,ParentProjectId,ChildProjectIds,RemovalReason
DCC ARCOS,OPR-XX20,PD Operations Analytics,Operations,DCC ARCOS,,Scoping,No description available.,,,,,,,,,,,,,,,,,,,,
DCC iWoRC,OPR-0024,PD Operations Analytics,Operations,DCC iWoRC,,Done - Deployed without Maintenance,Conversion of Access DB query from iWoRC to usable PBI,,,,,,,APC,DCC,Adam Swafford,APC,,1912-07-23,,,https://app.powerbi.com/groups/a377f74d-f9f4-4ade-94f-d5f69ad89d/reports/cb455fa-a87a-4588-aa55-c3d39d675f1c/b5b66883b99e55ad24?experience=power-bi,https://app.powerbi.com/groups/a377f74d-f9f4-4ade-94f-d5f69ad89d/reports/cb455fa-a87a-4588-aa55-c3d39d675f1c/b5b66883b99e55ad24?experience=power-bi,https://app.powerbi.com/groups/a377f74d-f9f4-4ade-94f-d5f69ad89d/reports/cb455fa-a87a-4588-aa55-c3d39d675f1c/b5b66883b99e55ad24?experience=power-bi,,,
DCC Phone,OPR-0025,PD Operations Analytics,Operations,DCC Phone,,In Development,Integration of RevCord data and storm names with enhanced 911 caller list to the first version of the dashboard.,,,,,,,APC,DCC,Adam Swafford,APC,,2025-07-31,,,https://app.powerbi.com/groups/1cfa668a-2cc8-4859-bf54-6844d654e621/reports/d14c982-53-466f-9f36-ad8fd4d62c74/ReportSection55f44f9c2e59bc1e1e21?experience=power-bi,https://app.powerbi.com/groups/1cfa668a-2cc8-4859-bf54-6844d654e621/reports/d14c982-53-466f-9f36-ad8fd4d62c74/ReportSection55f44f9c2e59bc1e1e21?experience=power-bi,https://app.powerbi.com/groups/1cfa668a-2cc8-4859-bf54-6844d654e621/reports/d14c982-53-466f-9f36-ad8fd4d62c74/ReportSection55f44f9c2e59bc1e1e21?experience=power-bi,,,
DCC Phone infastructure Development,OPR-XX10,PD Operations Analytics,Operations,DCC Phone,Workforce Analytics,In Development,Setting up data architecture and engineering to ingest and transform call data,,,,,,,APC,DCC,Adam Swafford,APC,,,,,https://app.powerbi.com/groups/1cfa668a-2cc8-4859-bf54-6844d654e621/reports/d14c9820-5300-466f-9f36-ad8fd4d62c74/ReportSection55f44f9c2e59bc1e1e21?experience=power-bi,https://app.powerbi.com/groups/1cfa668a-2cc8-4859-bf54-6844d654e621/reports/d14c9820-5300-466f-9f36-ad8fd4d62c74/ReportSection55f44f9c2e59bc1e1e21?experience=power-bi,,,,
DCC Phone executive view,OPR-XX11,PD Operations Analytics,Operations,DCC Phone,Workforce Analytics,Done - Deployed without Maintenance,Initial dashboard release for leaders to monitor team,,,,,,,APC,DCC,Adam Swafford,APC,,,,,https://app.powerbi.com/groups/1cfa668a-2cc8-4859-bf54-6844d654e621/reports/d14c9820-5300-466f-9f36-ad8fd4d62c74/ReportSection55f44f9c2e59bc1e1e21?experience=power-bi,https://app.powerbi.com/groups/1cfa668a-2cc8-4859-bf54-6844d654e621/reports/d14c9820-5300-466f-9f36-ad8fd4d62c74/ReportSection55f44f9c2e59bc1e1e21?experience=power-bi,,,,
DCC Phone Reporting Suite V1,OPR-XX13,PD Operations Analytics,Operations,DCC Phone,Workforce Analytics,Done - Deployed without Maintenance,First release of full dashboard and capabilities that integrated data from cisco call data,,,,,,,APC,DCC,Adam Swafford,APC,,,,,https://app.powerbi.com/groups/1cfa668a-2cc8-4859-bf54-6844d654e621/reports/d14c9820-5300-466f-9f36-ad8fd4d62c74/ReportSection55f44f9c2e59bc1e1e21?experience=power-bi,https://app.powerbi.com/groups/1cfa668a-2cc8-4859-bf54-6844d654e621/reports/d14c9820-5300-466f-9f36-ad8fd4d62c74/ReportSection55f44f9c2e59bc1e1e21?experience=power-bi,,,,
DCC UI/UX,OPR-XX14,PD Operations Analytics,Operations,DCC Phone,Workforce Analytics,Done - Deployed without Maintenance,Creation of UX/UI and instruction set for end-users based on super-user feedback,,,,,,,APC,DCC,Adam Swaford,APC,,,,,,,,,,
Distribution Support ARCOS Data Work,OPR-XX18,PD Operations Analytics,Operations,Distribution Support ARCOS Data Work,Workforce Analytics,Done - Deployed without Maintenance,Helping field team create analytics around their workforce preformance leveraging previous work done getting ARCOS into databricks,,,,,,,APC,Distribution Support,Charles Elledge,APC,,,,,,,,,,
Distribution Support Data Work,OPR-XX12,PD Operations Analytics,Operations,Distribution Support Data Work,Metrics,In Development,Designing architecture to enable Golden Gate transisition,,,,,,,APC,Distribution Support,Brock Parker,APC,,,,,,,,,,
ETR/ITR Reporting Suite,OPR-0030,PD Operations Analytics,Operations,ETR Reporting Suite,ERT,In Development,Reporting suite to replace daily scorecard email. Suite to include various enhancements and views currently unavailable,,,,,,,,,"Brian Doyle, Kim Williams",APC,,2025-04-04,,,TBD,https://app.powerbi.com/groups/6eda5ce7-b3db-490a-bef9-1c59c71f14c4/reports/3ec2b4b4-9444-4a1f-a285-98a57f64a41f/ReportSectionc5b8d65029c90cc0d58e?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,,,,
Network - Visualization Content Dev - PowerBI,OPR-0023,PD Grid Transformation Analytics,Grid Transformation,Network Transformer Health Dashboard,Undergrounding,In Development,PBi dashboard showing recent tests and trends for underground network transformers and replacement guidelines,,,,,,,,,Stephen Wolbach,APC,,2025-08-31,,,TBD,,,,,
PBI Design Enhancements,OPR-XX11-1,PD Operations Analytics,Operations,PBI Design Enhancements,Automation,Done - Deployed without Maintenance,Assisting Shea's team optimize PowerBi reports,,,,,,,APC,AFT Strategic Transformation,Shea Wright,APC,,,,,,,,,,
SPEAR user adoption,OPR-XX15,PD Operations Analytics,Operations,SPEAR,Weather,Done - Deployed without Maintenance,Materials explaining the use of SPEAR to end users and potential adopters,,,,,,,APC,PDDA-D,David Huffstutler,APC,,,,,,,,,,
DTN Data Integration,OPR-XXX2,PD Operations Analytics,Operations,Weather Sandbox,Weather,Done - Deployed without Maintenance,DTN data integration via API to build baseline data for prediction,,,,,,,APC,PDDA-D,David Huffstutler,APC,,,,,,,,,,
NWS Data Integration,OPR-XXX3,PD Operations Analytics,Operations,Weather Sandbox,Weather,Done - Deployed without Maintenance,National Weather Services data integration via API into weather sandbox,,,,,,,APC,PDDA-D,David Huffstutler,APC,,,,,,,,,,
StormImpact Data Integration,OPR-XXX5,PD Operations Analytics,Operations,Weather Sandbox,Weather,Done - Deployed without Maintenance,StormImpact data intergation via API for the weather sandbox,,,,,,,APC,PDDA-D,David Huffstutler,APC,,,,,,,,,,
Tempest Data Integration,OPR-XXX6,PD Operations Analytics,Operations,Weather Sandbox,Weather,Done - Deployed without Maintenance,Tempest data integration into weather sandbox via API,,,,,,,APC,PDDA-D,David Huffstutler,APC,,,,,,,,,,
Weather Sandbox UI/UX,OPR-XXX8,PD Operations Analytics,Operations,Weather Sandbox,Weather,Done - Deployed without Maintenance,User design and integration for weather sandbox with end user adoption strategy and instructions,,,,,,,APC,PDDA-D,David Huffstutler,APC,,,,,,,,,,
ARCOS Phase II,TEC-0002,PD Technology,Grid Transformation,ARCOS Phase II,Workforce Analytics,Done - Deployed without Maintenance,2nd iteration of ARCOS dashboard,,,,,,,APC,PD Technology,David Osborne,APC,,,,,,,,,,
Context Switching Case,TEC-0003,PD Technology,Grid Transformation,Context Switching Case PDT,,Done - Deployed without Maintenance,Dive into context switching use cases for PD Technology applications,,,,,,,APC,PD Technology,Kelsey Stephens,APC,,,,,,,,,,
iPad Tracker phase II,TEC-0001,PD Technology,Grid Transformation,IPAD Tracker Phase II,Asset Management,In Development,Enhancements to original iPad tracker,,,,,,,APC,PD Technology,Larry Grant,APC,,,,,,,,,,
Labor Multiplier,REL-XXX2,Reliability,Reliability,Labor Multiplier,Project Management Tools,In Development,Working with Joint Use to help reevaluate the labor multiplier that is used in estimation,,,,,Danny,,APC,PDDA,Jermaine Clements,APC,,,,,,,,,,
